run,example_id,condition,n_words,n_ref_tokens,distinct_3,max_repeat_run,top_trigram_share,unclosed_think,ppl,hit_token_cap,logged_degenerate_flag,think_fail,distinct_fail,repeat_fail,ppl_fail,coherent
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-489503,initial,121,171,0.9748,1,0.0168,0,3.093,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-518707,initial,112,136,1.0,1,0.0091,0,7.718,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-435000,initial,98,117,1.0,1,0.0104,0,7.264,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-390672,initial,87,116,1.0,1,0.0118,0,11.061,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-234820,initial,132,150,0.9846,1,0.0154,0,3.021,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-373694,initial,55,67,1.0,1,0.0189,0,5.079,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-258095,initial,58,80,1.0,1,0.0179,0,14.779,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-199040,initial,62,74,1.0,1,0.0167,0,8.054,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-440301,initial,180,225,0.9944,1,0.0112,0,3.525,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-437647,initial,96,122,0.9681,1,0.0213,0,3.393,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-356895,initial,118,149,1.0,1,0.0086,0,3.44,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-103722,initial,36,50,1.0,1,0.0294,0,3.073,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-482375,initial,40,54,0.9474,1,0.0526,0,7.646,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-71773,initial,220,261,0.9679,1,0.0092,0,4.749,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-7315,initial,331,512,0.9757,1,0.0122,0,2.72,1,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-375308,initial,239,319,1.0,1,0.0042,0,4.768,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-438434,initial,240,332,0.916,1,0.042,0,4.393,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-358159,initial,55,76,0.9811,1,0.0377,0,4.301,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-377767,initial,311,375,0.9126,1,0.0129,0,3.721,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-361285,initial,17,20,1.0,1,0.0667,0,42.831,0,0,0,0,0,1,0
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-347246,initial,86,104,1.0,1,0.0119,0,4.234,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-453827,initial,65,81,1.0,1,0.0159,0,14.395,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-609998,initial,267,326,0.9849,1,0.0113,0,4.439,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-631926,initial,85,109,1.0,1,0.012,0,5.147,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-401738,initial,143,214,0.9645,1,0.0142,0,3.923,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-27409,initial,27,30,1.0,1,0.04,0,22.894,0,0,0,0,0,1,0
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-86363,initial,147,180,0.9862,1,0.0138,0,7.076,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-526183,initial,140,169,0.9928,1,0.0145,0,3.933,0,0,0,0,0,0,1
20260926-100839_laneA_exp2_covrandom_issuebench_qwen3-8b,issuebench-sample-369558,initial,68,87,1.0,1,0.0152,0,10.7,0,0,0,0,0,0,1
